dataSeq,일자,수압계
168,2026-05-17 00:27:54,4.508
169,2026-05-17 00:28:04,4.491
170,2026-05-17 00:28:14,4.475
171,2026-05-17 00:28:24,4.475
172,2026-05-17 00:28:34,4.459
173,2026-05-17 00:28:44,4.459
174,2026-05-17 00:28:54,4.442
175,2026-05-17 00:29:04,4.418
176,2026-05-17 00:29:14,4.393
177,2026-05-17 00:29:24,4.377
178,2026-05-17 00:29:34,4.368
179,2026-05-17 00:29:44,4.352
180,2026-05-17 00:29:54,4.336
181,2026-05-17 00:30:04,4.311
182,2026-05-17 00:30:14,4.303
183,2026-05-17 00:30:24,4.295
184,2026-05-17 00:30:34,4.278
185,2026-05-17 00:30:44,4.254
186,2026-05-17 00:30:54,4.245
187,2026-05-17 00:31:04,4.172
188,2026-05-17 00:31:14,4.196
189,2026-05-17 00:31:24,4.131
190,2026-05-17 00:31:34,4.09
191,2026-05-17 00:31:44,4.508
192,2026-05-17 00:31:54,4.418
193,2026-05-17 00:32:04,5.066
194,2026-05-17 00:32:14,5.074
195,2026-05-17 00:32:24,4.754
196,2026-05-17 00:32:34,4.434
197,2026-05-17 00:32:44,4.36
198,2026-05-17 00:32:54,4.311
199,2026-05-17 00:33:04,4.295
200,2026-05-17 00:33:14,4.286
201,2026-05-17 00:33:24,4.278
202,2026-05-17 00:33:34,4.262
203,2026-05-17 00:33:44,4.204
204,2026-05-17 00:33:54,4.172
205,2026-05-17 00:34:04,4.147
206,2026-05-17 00:34:14,4.131
207,2026-05-17 00:34:24,4.122
208,2026-05-17 00:34:34,4.106
209,2026-05-17 00:34:44,3.967
210,2026-05-17 00:34:54,3.918
211,2026-05-17 00:35:04,3.909
212,2026-05-17 00:35:14,3.95
213,2026-05-17 00:35:24,4.229
214,2026-05-17 00:35:34,4.106
215,2026-05-17 00:35:34,4.106
216,2026-05-17 00:35:44,3.934
217,2026-05-17 00:35:54,3.606
218,2026-05-17 00:36:04,3.426
219,2026-05-17 00:36:14,3.639
220,2026-05-17 00:36:24,4.237
221,2026-05-17 00:36:34,3.918
222,2026-05-17 00:36:44,4.106
223,2026-05-17 00:36:54,3.991
224,2026-05-17 00:37:04,4.303
225,2026-05-17 00:37:14,4.188
226,2026-05-17 00:37:24,4.122
227,2026-05-17 00:37:34,4.04
228,2026-05-17 00:37:44,4.032
229,2026-05-17 00:37:54,4.016
230,2026-05-17 00:38:04,3.909
231,2026-05-17 00:38:14,4.016
232,2026-05-17 00:38:24,3.918
233,2026-05-17 00:38:34,4.008
234,2026-05-17 00:38:44,3.745
235,2026-05-17 00:38:54,4.04
236,2026-05-17 00:39:04,4.016
237,2026-05-17 00:39:14,3.999
238,2026-05-17 00:39:24,4.344
239,2026-05-17 00:39:34,4.18
240,2026-05-17 00:39:44,4.024
241,2026-05-17 00:39:54,4.016
242,2026-05-17 00:40:04,3.991
243,2026-05-17 00:40:14,3.95
244,2026-05-17 00:40:24,4.188
245,2026-05-17 00:40:34,4.016
246,2026-05-17 00:40:44,4.008
247,2026-05-17 00:40:54,3.999
248,2026-05-17 00:41:04,3.967
249,2026-05-17 00:41:14,4.057
250,2026-05-17 00:41:24,4.221
251,2026-05-17 00:41:34,4.114
252,2026-05-17 00:41:44,4.549
253,2026-05-17 00:41:54,4.459
254,2026-05-17 00:42:04,3.795
255,2026-05-17 00:42:14,4.081
256,2026-05-17 00:42:24,4.245
257,2026-05-17 00:42:34,4.188
258,2026-05-17 00:42:44,3.934
259,2026-05-17 00:42:54,3.918
260,2026-05-17 00:43:04,3.827
261,2026-05-17 00:43:14,3.844
262,2026-05-17 00:43:24,3.991
263,2026-05-17 00:43:34,3.803
264,2026-05-17 00:43:44,3.795
265,2026-05-17 00:43:54,3.786
266,2026-05-17 00:44:04,4.049
267,2026-05-17 00:44:14,4.057
268,2026-05-17 00:44:24,3.975
269,2026-05-17 00:44:34,3.762
270,2026-05-17 00:44:44,3.745
271,2026-05-17 00:44:54,3.704
272,2026-05-17 00:45:04,3.606
273,2026-05-17 00:45:14,3.901
274,2026-05-17 00:45:24,3.827
275,2026-05-17 00:45:34,3.704
276,2026-05-17 00:45:44,3.844
277,2026-05-17 00:45:54,3.631
278,2026-05-17 00:46:04,3.934
279,2026-05-17 00:46:14,3.811
280,2026-05-17 00:46:24,3.647
281,2026-05-17 00:46:34,3.434
282,2026-05-17 00:46:44,3.704
283,2026-05-17 00:46:54,3.811
284,2026-05-17 00:47:04,3.975
285,2026-05-17 00:47:14,3.991
286,2026-05-17 00:47:24,3.959
287,2026-05-17 00:47:34,3.909
288,2026-05-17 00:47:44,3.885
289,2026-05-17 00:47:54,3.852
290,2026-05-17 00:48:04,3.803
291,2026-05-17 00:48:14,3.672
292,2026-05-17 00:48:24,3.918
293,2026-05-17 00:48:34,3.696
294,2026-05-17 00:48:44,3.639
295,2026-05-17 00:48:54,4.04
296,2026-05-17 00:49:04,3.803
297,2026-05-17 00:49:14,3.647
298,2026-05-17 00:49:24,3.278
299,2026-05-17 00:49:34,3.852
300,2026-05-17 00:49:44,3.844
301,2026-05-17 00:49:54,3.868
302,2026-05-17 00:50:04,4.262
303,2026-05-17 00:50:14,4.106
304,2026-05-17 00:50:24,4.049
305,2026-05-17 00:50:34,4.032
306,2026-05-17 00:50:44,4.008
307,2026-05-17 00:50:54,3.999
308,2026-05-17 00:51:04,3.885
309,2026-05-17 00:51:14,3.762
310,2026-05-17 00:51:24,3.598
311,2026-05-17 00:51:34,3.631
312,2026-05-17 00:51:44,3.508
313,2026-05-17 00:51:54,3.631
314,2026-05-17 00:52:04,4.163
315,2026-05-17 00:52:14,3.836
316,2026-05-17 00:52:34,3.565
317,2026-05-17 00:52:44,3.565
318,2026-05-17 00:52:54,3.696
319,2026-05-17 00:53:04,3.926
320,2026-05-17 00:53:14,3.909
321,2026-05-17 00:53:24,3.885
322,2026-05-17 00:53:34,3.86
323,2026-05-17 00:53:44,3.786
324,2026-05-17 00:53:54,3.745
325,2026-05-17 00:54:04,3.967
326,2026-05-17 00:54:14,3.909
327,2026-05-17 00:54:24,3.836
328,2026-05-17 00:54:34,3.819
329,2026-05-17 00:54:44,3.795
330,2026-05-17 00:54:54,3.803
331,2026-05-17 00:55:04,3.655
332,2026-05-17 00:55:14,3.713
333,2026-05-17 00:55:24,4.049
334,2026-05-17 00:55:34,3.975
335,2026-05-17 00:55:44,4.204
336,2026-05-17 00:55:54,3.762
337,2026-05-17 00:56:04,3.991
338,2026-05-17 00:56:14,3.803
339,2026-05-17 00:56:24,3.885
340,2026-05-17 00:56:34,3.885
341,2026-05-17 00:56:44,3.918
342,2026-05-17 00:56:54,5
343,2026-05-17 00:57:04,4.959
344,2026-05-17 00:57:14,4.819
345,2026-05-17 00:57:24,4.786
346,2026-05-17 00:57:34,4.975
347,2026-05-17 00:57:44,4.959
348,2026-05-17 00:57:54,4.983
349,2026-05-17 00:58:04,4.155
350,2026-05-17 00:58:14,4.188
351,2026-05-17 00:58:34,4.032
352,2026-05-17 00:58:44,4.016
353,2026-05-17 00:58:54,3.827
354,2026-05-17 00:59:04,4.18
355,2026-05-17 00:59:14,3.926
356,2026-05-17 00:59:24,3.885
357,2026-05-17 00:59:34,3.852
358,2026-05-17 00:59:44,3.811
359,2026-05-17 00:59:54,3.704
360,2026-05-17 01:00:04,3.59
361,2026-05-17 01:00:14,3.573
362,2026-05-17 01:00:24,3.598
363,2026-05-17 01:00:34,3.786
364,2026-05-17 01:00:44,3.778
365,2026-05-17 01:00:54,4.04
366,2026-05-17 01:01:04,3.991
367,2026-05-17 01:01:14,3.967
368,2026-05-17 01:01:24,3.959
369,2026-05-17 01:01:34,3.918
370,2026-05-17 01:01:44,4.032
371,2026-05-17 01:01:54,3.786
372,2026-05-17 01:02:04,3.754
373,2026-05-17 01:02:14,3.565
374,2026-05-17 01:02:24,3.868
375,2026-05-17 01:02:34,3.86
376,2026-05-17 01:02:44,3.754
377,2026-05-17 01:02:54,3.991
378,2026-05-17 01:03:04,3.754
379,2026-05-17 01:03:14,3.5
380,2026-05-17 01:03:24,3.204
381,2026-05-17 01:03:34,3.885
382,2026-05-17 01:03:44,4.278
383,2026-05-17 01:03:54,4.049
384,2026-05-17 01:04:04,3.868
385,2026-05-17 01:04:14,3.844
386,2026-05-17 01:04:24,3.778
387,2026-05-17 01:04:34,3.95
388,2026-05-17 01:04:44,3.844
389,2026-05-17 01:04:54,3.918
390,2026-05-17 01:05:04,3.631
391,2026-05-17 01:05:14,3.754
392,2026-05-17 01:05:24,3.811
393,2026-05-17 01:05:34,4.155
394,2026-05-17 01:05:44,4.081
395,2026-05-17 01:05:54,4.032
396,2026-05-17 01:06:04,3.991
397,2026-05-17 01:06:14,3.959
398,2026-05-17 01:06:24,3.95
399,2026-05-17 01:06:34,3.942
400,2026-05-17 01:06:44,4.188
401,2026-05-17 01:06:54,3.836
402,2026-05-17 01:07:04,3.999
403,2026-05-17 01:07:14,3.77
404,2026-05-17 01:07:34,3.688
405,2026-05-17 01:07:44,3.778
406,2026-05-17 01:07:54,3.975
407,2026-05-17 01:08:04,3.975
408,2026-05-17 01:08:14,3.942
409,2026-05-17 01:08:24,3.836
410,2026-05-17 01:08:34,3.844
411,2026-05-17 01:08:44,3.631
412,2026-05-17 01:08:54,3.77
413,2026-05-17 01:09:04,3.819
414,2026-05-17 01:09:14,3.762
415,2026-05-17 01:09:24,3.688
416,2026-05-17 01:09:34,3.778
417,2026-05-17 01:09:44,3.918
418,2026-05-17 01:09:54,3.557
419,2026-05-17 01:10:04,3.565
420,2026-05-17 01:10:14,4.114
421,2026-05-17 01:10:24,4.081
422,2026-05-17 01:10:34,3.975
423,2026-05-17 01:10:44,3.95
424,2026-05-17 01:10:54,3.909
425,2026-05-17 01:11:04,3.803
426,2026-05-17 01:11:14,3.967
427,2026-05-17 01:11:24,3.737
428,2026-05-17 01:11:34,4.04
429,2026-05-17 01:11:44,4.081
430,2026-05-17 01:11:54,4.073
431,2026-05-17 01:12:04,4.057
432,2026-05-17 01:12:14,4.04
433,2026-05-17 01:12:24,3.942
434,2026-05-17 01:12:34,4.098
435,2026-05-17 01:12:44,3.934
436,2026-05-17 01:12:54,3.762
437,2026-05-17 01:13:04,3.983
438,2026-05-17 01:13:14,3.942
439,2026-05-17 01:13:34,3.877
440,2026-05-17 01:13:44,3.868
441,2026-05-17 01:13:54,3.844
442,2026-05-17 01:14:04,4.45
443,2026-05-17 01:14:14,4.557
444,2026-05-17 01:14:24,4.516
445,2026-05-17 01:14:34,4.499
446,2026-05-17 01:14:44,4.483
447,2026-05-17 01:14:54,4.459
448,2026-05-17 01:15:04,4.442
449,2026-05-17 01:15:14,4.434
450,2026-05-17 01:15:24,4.418
451,2026-05-17 01:15:34,4.385
452,2026-05-17 01:15:44,4.368
453,2026-05-17 01:15:54,4.352
454,2026-05-17 01:16:04,4.344
455,2026-05-17 01:16:14,4.336
456,2026-05-17 01:16:24,4.303
457,2026-05-17 01:16:34,4.278
458,2026-05-17 01:16:44,4.27
459,2026-05-17 01:16:54,4.254
460,2026-05-17 01:17:04,4.237
461,2026-05-17 01:17:14,4.172
462,2026-05-17 01:17:24,4.155
463,2026-05-17 01:17:34,4.131
464,2026-05-17 01:17:44,4.237
465,2026-05-17 01:17:54,4.213
466,2026-05-17 01:18:04,4.204
467,2026-05-17 01:18:14,4.18
468,2026-05-17 01:18:24,4.303
469,2026-05-17 01:18:34,4.188
470,2026-05-17 01:18:44,4.172
471,2026-05-17 01:18:54,4.155
472,2026-05-17 01:19:04,4.131
473,2026-05-17 01:19:14,4.114
474,2026-05-17 01:19:24,4.09
475,2026-05-17 01:19:34,4.049
476,2026-05-17 01:19:44,4.245
477,2026-05-17 01:19:54,4.016
478,2026-05-17 01:20:04,4.024
479,2026-05-17 01:20:14,3.877
480,2026-05-17 01:20:24,4.172
481,2026-05-17 01:20:34,4.114
482,2026-05-17 01:20:44,4.09
483,2026-05-17 01:20:54,4.09
484,2026-05-17 01:21:04,4.049
485,2026-05-17 01:21:14,3.975
486,2026-05-17 01:21:24,3.778
487,2026-05-17 01:21:34,3.713
488,2026-05-17 01:21:44,3.713
489,2026-05-17 01:21:54,3.836
490,2026-05-17 01:22:04,3.803
491,2026-05-17 01:22:14,3.909
492,2026-05-17 01:22:34,4.016
493,2026-05-17 01:22:44,3.991
494,2026-05-17 01:22:54,3.967
495,2026-05-17 01:23:04,3.934
496,2026-05-17 01:23:14,4.065
497,2026-05-17 01:23:24,4.098
498,2026-05-17 01:23:34,4.04
499,2026-05-17 01:23:44,4.008
500,2026-05-17 01:23:54,3.909
501,2026-05-17 01:24:04,3.754
502,2026-05-17 01:24:14,3.868
503,2026-05-17 01:24:24,3.901
504,2026-05-17 01:24:34,3.926
505,2026-05-17 01:24:44,3.86
506,2026-05-17 01:24:54,3.95
507,2026-05-17 01:25:04,3.909
508,2026-05-17 01:25:14,3.95
509,2026-05-17 01:25:24,4.204
510,2026-05-17 01:25:34,4.106
511,2026-05-17 01:25:44,4.081
512,2026-05-17 01:25:54,4.065
513,2026-05-17 01:26:04,4.016
514,2026-05-17 01:26:14,4.155
515,2026-05-17 01:26:24,4.032
516,2026-05-17 01:26:34,3.762
517,2026-05-17 01:26:44,3.877
518,2026-05-17 01:26:54,3.672
519,2026-05-17 01:27:04,3.893
520,2026-05-17 01:27:14,4.967
521,2026-05-17 01:27:24,4.811
522,2026-05-17 01:27:34,3.762
523,2026-05-17 01:27:44,3.303
524,2026-05-17 01:27:54,3.262
525,2026-05-17 01:28:04,4.254
526,2026-05-17 01:28:14,3.991
527,2026-05-17 01:28:24,3.868
528,2026-05-17 01:28:34,4.213
529,2026-05-17 01:28:44,3.885
530,2026-05-17 01:28:54,3.926
531,2026-05-17 01:29:04,3.762
532,2026-05-17 01:29:14,3.844
533,2026-05-17 01:29:24,3.737
534,2026-05-17 01:29:34,3.344
535,2026-05-17 01:29:44,3.606
536,2026-05-17 01:29:54,3.713
537,2026-05-17 01:30:04,3.721
538,2026-05-17 01:30:14,3.885
539,2026-05-17 01:30:24,4.114
540,2026-05-17 01:30:34,3.68
541,2026-05-17 01:30:44,4.139
542,2026-05-17 01:30:54,3.696
543,2026-05-17 01:31:04,3.45
544,2026-05-17 01:31:14,3.959
545,2026-05-17 01:31:24,3.827
546,2026-05-17 01:31:34,4.057
547,2026-05-17 01:31:44,3.803
548,2026-05-17 01:31:54,3.745
549,2026-05-17 01:32:04,3.631
550,2026-05-17 01:32:14,3.786
551,2026-05-17 01:32:24,3.762
552,2026-05-17 01:32:34,3.918
553,2026-05-17 01:32:44,4.221
554,2026-05-17 01:32:54,3.614
555,2026-05-17 01:33:04,3.54
556,2026-05-17 01:33:14,4.213
557,2026-05-17 01:33:24,4.016
558,2026-05-17 01:33:34,3.893
559,2026-05-17 01:33:44,3.147
560,2026-05-17 01:33:54,3.942
561,2026-05-17 01:34:04,4.196
562,2026-05-17 01:34:14,3.819
563,2026-05-17 01:34:24,3.713
564,2026-05-17 01:34:34,4.016
565,2026-05-17 01:34:44,4.106
566,2026-05-17 01:34:54,3.163
567,2026-05-17 01:35:04,3.942
568,2026-05-17 01:35:14,4.049
569,2026-05-17 01:35:24,3.975
570,2026-05-17 01:35:34,3.868
571,2026-05-17 01:35:44,3.606
572,2026-05-17 01:35:54,3.77
573,2026-05-17 01:36:04,4.319
574,2026-05-17 01:36:14,3.68
575,2026-05-17 01:36:24,3.95
576,2026-05-17 01:36:34,3.754
577,2026-05-17 01:36:44,3.795
578,2026-05-17 01:36:54,4.18
579,2026-05-17 01:37:04,3.581
580,2026-05-17 01:37:14,4.139
581,2026-05-17 01:37:24,3.803
582,2026-05-17 01:37:34,3.663
583,2026-05-17 01:37:44,3.909
584,2026-05-17 01:37:54,4.081
585,2026-05-17 01:38:04,4.204
586,2026-05-17 01:38:14,4.188
587,2026-05-17 01:38:24,4.18
588,2026-05-17 01:38:34,4.172
589,2026-05-17 01:38:44,4.163
590,2026-05-17 01:38:54,4.163
591,2026-05-17 01:39:04,4.278
592,2026-05-17 01:39:14,4.327
593,2026-05-17 01:39:24,4.319
594,2026-05-17 01:39:34,4.303
595,2026-05-17 01:39:44,4.303
596,2026-05-17 01:39:54,4.295
597,2026-05-17 01:40:04,4.286
598,2026-05-17 01:40:14,4.262
599,2026-05-17 01:40:24,4.606
600,2026-05-17 01:40:34,4.827
601,2026-05-17 01:40:44,4.704
602,2026-05-17 01:40:54,4.442
603,2026-05-17 01:41:04,4.434
604,2026-05-17 01:41:14,4.418
605,2026-05-17 01:41:24,4.409
606,2026-05-17 01:41:34,4.393
607,2026-05-17 01:41:44,4.393
608,2026-05-17 01:41:54,4.631
609,2026-05-17 01:42:04,4.688
610,2026-05-17 01:42:14,4.975
611,2026-05-17 01:42:24,4.336
612,2026-05-17 01:42:34,4.336
613,2026-05-17 01:42:44,4.311
614,2026-05-17 01:42:54,4.311
615,2026-05-17 01:43:04,4.311
616,2026-05-17 01:43:14,4.295
617,2026-05-17 01:43:24,4.229
618,2026-05-17 01:43:34,4.303
619,2026-05-17 01:43:44,4.245
620,2026-05-17 01:43:54,4.245
621,2026-05-17 01:44:04,4.229
622,2026-05-17 01:44:14,4.221
623,2026-05-17 01:44:24,4.27
624,2026-05-17 01:44:34,4.229
625,2026-05-17 01:44:44,4.213
626,2026-05-17 01:44:54,4.213
627,2026-05-17 01:45:04,4.18
628,2026-05-17 01:45:14,4.172
629,2026-05-17 01:45:24,4.172
630,2026-05-17 01:45:34,4.262
631,2026-05-17 01:45:44,4.196
632,2026-05-17 01:45:54,4.122
633,2026-05-17 01:46:04,4.114
634,2026-05-17 01:46:14,4.098
635,2026-05-17 01:46:24,4.106
636,2026-05-17 01:46:34,3.909
637,2026-05-17 01:46:44,3.95
638,2026-05-17 01:46:54,4.122
639,2026-05-17 01:47:04,3.942
640,2026-05-17 01:47:14,3.877
641,2026-05-17 01:47:24,3.926
642,2026-05-17 01:47:34,4.008
643,2026-05-17 01:47:44,4.196
644,2026-05-17 01:47:54,4.336
645,2026-05-17 01:48:04,4.319
646,2026-05-17 01:48:14,4.327
647,2026-05-17 01:48:24,4.295
648,2026-05-17 01:48:34,4.295
649,2026-05-17 01:48:44,3.991
650,2026-05-17 01:48:54,3.918
651,2026-05-17 01:49:04,3.918
652,2026-05-17 01:49:14,4.672
653,2026-05-17 01:49:34,4.54
654,2026-05-17 01:49:44,4.532
655,2026-05-17 01:49:54,4.516
656,2026-05-17 01:50:04,4.508
657,2026-05-17 01:50:14,4.499
658,2026-05-17 01:50:24,4.499
659,2026-05-17 01:50:34,4.352
660,2026-05-17 01:50:44,3.745
661,2026-05-17 01:50:54,3.549
662,2026-05-17 01:51:04,3.86
663,2026-05-17 01:51:14,4.172
664,2026-05-17 01:51:24,4.073
665,2026-05-17 01:51:34,3.836
666,2026-05-17 01:51:44,4.057
667,2026-05-17 01:51:54,3.909
668,2026-05-17 01:52:04,3.86
669,2026-05-17 01:52:14,4.081
670,2026-05-17 01:52:24,4.131
671,2026-05-17 01:52:34,4.54
672,2026-05-17 01:52:44,4.524
673,2026-05-17 01:52:54,4.516
674,2026-05-17 01:53:04,4.508
675,2026-05-17 01:53:14,4.499
676,2026-05-17 01:53:24,4.475
677,2026-05-17 01:53:34,4.459
678,2026-05-17 01:53:44,4.459
679,2026-05-17 01:53:54,4.45
680,2026-05-17 01:54:04,4.434
681,2026-05-17 01:54:14,4.409
682,2026-05-17 01:54:24,4.409
683,2026-05-17 01:54:34,4.401
684,2026-05-17 01:54:44,4.377
685,2026-05-17 01:54:54,4.377
686,2026-05-17 01:55:04,4.377
687,2026-05-17 01:55:14,4.36
688,2026-05-17 01:55:24,4.352
689,2026-05-17 01:55:34,4.344
690,2026-05-17 01:55:44,4.336
691,2026-05-17 01:55:54,4.336
692,2026-05-17 01:56:04,4.836
693,2026-05-17 01:56:14,4.737
694,2026-05-17 01:56:24,4.893
695,2026-05-17 01:56:34,4.877
696,2026-05-17 01:56:44,4.827
697,2026-05-17 01:56:54,4.188
698,2026-05-17 01:57:04,4.139
699,2026-05-17 01:57:14,4.122
700,2026-05-17 01:57:24,4.114
701,2026-05-17 01:57:34,4.098
702,2026-05-17 01:57:44,3.95
703,2026-05-17 01:57:54,4.196
704,2026-05-17 01:58:04,4.065
705,2026-05-17 01:58:14,4.024
706,2026-05-17 01:58:24,3.991
707,2026-05-17 01:58:34,4.049
